,twitter_id,tone_AI,perceived_judgement_AI,polarity_AI
0,tweet_id:1971561698277589079,,,
1,tweet_id:1969421676246155329,,,
2,tweet_id:1969757691414552742,,,
3,tweet_id:1969677647954526582,,,
4,tweet_id:1971554490160709696,,,
5,tweet_id:1967026817623355632,Neutral,InFavor,0.5
6,tweet_id:1934803697722380411,Neutral,InFavor,0.5
7,tweet_id:1923761077374075233,Neutral,InFavor,0.5
8,tweet_id:1928382617683964151,Enjoyment,InFavor,0.8
9,tweet_id:1923294571171025000,Enjoyment,InFavor,0.8
10,tweet_id:1931620556627153280,Neutral,Unsure,0.0
11,tweet_id:1925532643472638081,Contempt,Opposedto,-0.7
12,tweet_id:1924374593533595698,Neutral,Unsure,0.0
13,tweet_id:1933001323751899314,Neutral,InFavor,0.5
14,tweet_id:1942551280465183013,Neutral,Unsure,0.0
15,tweet_id:1923187050208989436,Enjoyment,InFavor,0.8
16,tweet_id:1949659578054111438,Enjoyment,InFavor,0.8
17,tweet_id:1923882731869700352,Neutral,Unsure,0.2
18,tweet_id:1932669708433830086,Neutral,InFavor,0.5
19,tweet_id:1929471977988718802,Neutral,Unsure,0.2
20,tweet_id:1947248330011984031,Sadness,InFavor,0.5
21,tweet_id:1941004156455866869,Neutral,Unsure,0.0
22,tweet_id:1924300323168076126,Contempt,Opposedto,-0.7
23,tweet_id:1930669716969758769,Neutral,Unsure,0.0
24,tweet_id:1940713236023886204,Neutral,InFavor,0.5
25,tweet_id:1923716956877898060,Enjoyment,InFavor,0.8
26,tweet_id:1940774660435804204,Neutral,InFavor,0.5
27,tweet_id:1925127121409876278,Anger,Unsure,-0.5
28,tweet_id:1946053603246182628,Neutral,Unsure,0.0
29,tweet_id:1944639308536938536,Neutral,InFavor,0.5
30,tweet_id:1943203139278246294,Neutral,InFavor,0.5
31,tweet_id:1955202296427786605,Neutral,Opposedto,0.2
32,tweet_id:1934886544114168253,Neutral,InFavor,0.5
33,tweet_id:1923662232405278919,Neutral,InFavor,0.5
34,tweet_id:1926907494086979602,Neutral,Unsure,0.0
35,tweet_id:1923875867077509411,Neutral,InFavor,0.5
36,tweet_id:1923630807153074444,Neutral,Unsure,0.0
37,tweet_id:1941134530611753433,Neutral,InFavor,0.5
38,tweet_id:1926888188909412476,Neutral,Unsure,0.0
39,tweet_id:1923286646633472341,Enjoyment,InFavor,0.8
40,tweet_id:1936998096405430626,Fear,Unsure,-0.5
41,tweet_id:1939566800787947745,Enjoyment,InFavor,0.8
42,tweet_id:1926831533379252274,Contempt,Opposedto,-0.7
43,tweet_id:1940670364641907201,Contempt,Opposedto,-0.8
44,tweet_id:1923683612010131910,Surprise,Opposedto,-0.5
45,tweet_id:1946564675346596152,Surprise,InFavor,0.5
46,tweet_id:1923638166285901904,Neutral,InFavor,0.5
47,tweet_id:1923320297345732700,Neutral,InFavor,0.5
48,tweet_id:1924378170993868904,Enjoyment,InFavor,0.8
49,tweet_id:1924392910167953677,Neutral,InFavor,0.5
50,tweet_id:1949746880449229046,Sadness,Opposedto,-0.6
51,tweet_id:1950133362322002293,Contempt,Opposedto,-0.7
52,tweet_id:1927314213879349403,Contempt,Opposedto,-0.7
53,tweet_id:1940292993808019522,Neutral,InFavor,0.5
54,tweet_id:1924378009953542537,Surprise,Unsure,-0.2
55,tweet_id:1938836923776409782,Neutral,Unsure,0.0
56,tweet_id:1925368140965585343,Neutral,InFavor,0.5
57,tweet_id:1935714198824079561,Neutral,Unsure,0.0
58,tweet_id:1930885466217128275,Disgust,Opposedto,-0.7
59,tweet_id:1930218906213593297,Neutral,InFavor,0.5
60,tweet_id:1935921794642592190,Neutral,InFavor,0.5
61,tweet_id:1924309637819752766,Neutral,InFavor,0.5
62,tweet_id:1955933764552655295,Contempt,Opposedto,-0.8
63,tweet_id:1923638436109631607,Neutral,Unsure,0.0
64,tweet_id:1923383667621072949,Enjoyment,InFavor,0.8
65,tweet_id:1924354881680482694,Neutral,InFavor,0.5
66,tweet_id:1922534410252902826,Neutral,Unsure,0.0
67,tweet_id:1922844382971166886,Contempt,Opposedto,-0.8
68,tweet_id:1924419787079487808,Enjoyment,InFavor,0.8
69,tweet_id:1926839736657686962,Neutral,InFavor,0.5
70,tweet_id:1952225734824718475,Neutral,Unsure,0.0
71,tweet_id:1948555465111339302,Neutral,Unsure,0.0
72,tweet_id:1926906702865084822,Contempt,Opposedto,-0.8
73,tweet_id:1950006108816380229,Neutral,Unsure,0.0
74,tweet_id:1968194593759039697,Neutral,InFavor,0.5
75,tweet_id:1948926495147299212,Neutral,Unsure,0.0
76,tweet_id:1924365597749751904,Neutral,InFavor,0.5
77,tweet_id:1948591058142855463,Neutral,InFavor,0.5
78,tweet_id:1930776852320411868,Neutral,Unsure,0.0
79,tweet_id:1927194440478691825,Neutral,Opposedto,0.2
80,tweet_id:1939551667873370481,Neutral,InFavor,0.5
81,tweet_id:1925790196273910086,Neutral,InFavor,0.5
82,tweet_id:1927207003417415981,Contempt,Opposedto,-0.7
83,tweet_id:1925031071705661526,Enjoyment,InFavor,0.8
84,tweet_id:1938973085023014921,Neutral,Unsure,0.0
85,tweet_id:1942125386135216382,Neutral,Unsure,0.0
86,tweet_id:1925127592174383230,Anger,Unsure,-0.5
87,tweet_id:1923218990165307716,Anger,Opposedto,-0.8
88,tweet_id:1924383590462411218,Neutral,Unsure,0.0
89,tweet_id:1923780889315770586,Neutral,InFavor,0.5
90,tweet_id:1930772576638587147,Anger,Opposedto,-0.8
91,tweet_id:1923666256676389197,Neutral,Unsure,0.0
